檔案名,舞風,教師,時間
FRI_block_06.jpeg,Street Jazz,小鳥,18:30-19:30
FRI_block_10.jpeg,Choreography,奶茶,20:50-21:50
SAT_block_16.jpeg,Choreography,弘霖,19:20-20:20
WED_block_17.jpeg,,,
WED_block_01.jpeg,Jazz Funk,小Q,12:20-13:20
THU_block_15.jpeg,,,
TUE_block_02.jpeg,Sexy Jazz,若喬,13:30-14:30
THU_block_03.jpeg,,,13:30-14:30
TUE_block_14.jpeg,,,
MON_block_01.jpeg,,,12:20-13:20
SUN_block_07.jpeg,Street Jazz,星卉,15:50-16:50
MON_block_17.jpeg,,,
SUN_block_11.jpeg,Street Jazz,玉葉,17:00-18:00
SUN_block_10.jpeg,歐養成(Girl),欣蓓,17:00-18:00
MON_block_16.jpeg,,,
SUN_block_06.jpeg,Soul Dance,冠瑒/育嬋,14:40-15:40
THU_block_02.jpeg,中國爵士,Esdy,13:30-14:30
TUE_block_15.jpeg,,,
THU_block_14.jpeg,,,
TUE_block_03.jpeg,,,13:30-14:30
WED_block_16.jpeg,,,
SAT_block_17.jpeg,Street Jazz,CC,19:20-20:20
FRI_block_11.jpeg,舞成養成(Girt),Zoe,20:50-21:50
FRI_block_07.jpeg,Choreography,Vika,19:40-20:40
SAT_block_01.jpeg,舞感養成,韶恩/陳薇,13:30-14:30
THU_block_13.jpeg,,,
TUE_block_04.jpeg,Hip-hop,小美,18:30-19:30
THU_block_05.jpeg,Hip-hop,小博,18:30-19:30
TUE_block_12.jpeg,Popping,紀威,20:50-21:50
MON_block_07.jpeg,Choreography,阿信,19:40-20:40
SUN_block_01.jpeg,Entertainment:,巧棋,13:30-14:30
MON_block_11.jpeg,Jazz Funk,Angie,20:50-21:50
SUN_block_17.jpeg,,,19:20-20:20
SAT_block_06.jpeg,Street Jazz,奕維,14:40-15:40
TUE_block_08.jpeg,Hip-hop,飯粒,19:40-20:40
THU_block_09.jpeg,Hip-hop,煒臻,19:40-20:40
FRI_block_16.jpeg,,,
SAT_block_10.jpeg,Choreography,黑妹,17:00-18:00
WED_block_11.jpeg,Hip-hop,Nike/雅君,20:50-21:50
WED_block_07.jpeg,Hip-hop,伊凡/Coco,19:40-20:40
WED_block_06.jpeg,Locking,卡布,18:30-19:30
WED_block_10.jpeg,|,養成(Girl),20:50-21:50
SAT_block_11.jpeg,Lyrical Jazz,Yuki/韋達,17:00-18:00
FRI_block_17.jpeg,,,
THU_block_08.jpeg,Hip-hop,佾澄,19:40-20:40
FRI_block_01.jpeg,舞感餐成,Yaya,12:20-13:20
TUE_block_09.jpeg,Locking,阿邦,19:40-20:40
SAT_block_07.jpeg,Choreography,無盡,15:50-16:50
SUN_block_16.jpeg,,,19:20-20:20
MON_block_10.jpeg,Popping,龔妹,20:50-21:50
MON_block_06.jpeg,Waacking,永盛,18:30-19:30
THU_block_04.jpeg,Popping,皓子,18:30-19:30
TUE_block_13.jpeg,,,
THU_block_12.jpeg,Popping,小胖,20:50-21:50
TUE_block_05.jpeg,Choreography,球球,18:30-19:30
SUN_block_15.jpeg,,,18:10-19:10
WED_block_09.jpeg,Choreography,舒庭,19:40-20:40
MON_block_13.jpeg,,,
SUN_block_03.jpeg,POP Dance,姵宸,13:30-14:30
MON_block_05.jpeg,Hip-hop,北北,18:30-19:30
TUE_block_10.jpeg,Street Jazz,Randy,20:50-21:50
THU_block_07.jpeg,Jazz Funk,北北,19:40-20:40
TUE_block_06.jpeg,Vogue,,18:30-19:30
THU_block_11.jpeg,Lyrical Jazz,秉謙,20:50-21:50
SAT_block_08.jpeg,舞成養成,阿奎,15:50-16:50
WED_block_05.jpeg,Choreography,小艾,18:30-19:30
MON_block_09.jpeg,,,19:40-20:40
WED_block_13.jpeg,,,
SAT_block_12.jpeg,|,舞成餐成(Girl),17:00-18:00
FRI_block_14.jpeg,,,
FRI_block_02.jpeg,,,13:30-14:30
SAT_block_04.jpeg,Dancehall,涵涵,14:40-15:40
SAT_block_05.jpeg,Hip-hop,Rex,14:40-15:40
FRI_block_03.jpeg,,,13:30-14:30
FRI_block_15.jpeg,,,
SAT_block_13.jpeg,K-POP Dance,Henry,18:10-19:10
WED_block_12.jpeg,House,Sally,20:50-21:50
MON_block_08.jpeg,Jazz Funk,榜榜,19:40-20:40
WED_block_04.jpeg,Jazz Funk,Angie,18:30-19:30
SAT_block_09.jpeg,Jazz Funk,阿布,15:50-16:50
TUE_block_07.jpeg,Waacking,金瑋瑋,19:40-20:40
THU_block_10.jpeg,Hip-hop,阿能,20:50-21:50
TUE_block_11.jpeg,舞感養成,妞妞,20:50-21:50
THU_block_06.jpeg,Twerk,小喵,18:30-19:30
MON_block_04.jpeg,Jazz,歡,18:30-19:30
SUN_block_02.jpeg,Street Jazz,叮叮,13:30-14:30
MON_block_12.jpeg,,,20:50-21:50
SUN_block_14.jpeg,舞間養成(Step),佾澄,18:10-19:10
WED_block_08.jpeg,Jazz,Emma,19:40-20:40
WED_block_03.jpeg,,,13:30-14:30
WED_block_15.jpeg,,,
SUN_block_09.jpeg,Hip-hop,BBEN,15:50-16:50
SAT_block_14.jpeg,舞或養成(Step),阿衝,18:10-19:10
FRI_block_12.jpeg,Soul&Lock,戴小芯,20:50-21:50
FRI_block_04.jpeg,Dancehall,金瑋瑋,18:30-19:30
SAT_block_02.jpeg,Choreography,Jasmine,13:30-14:30
SUN_block_13.jpeg,「舞感養成(Step),星卉,18:10-19:10
MON_block_15.jpeg,,,
SUN_block_05.jpeg,Choreography,SAM,14:40-15:40
MON_block_03.jpeg,,,13:30-14:30
TUE_block_16.jpeg,,,
THU_block_01.jpeg,Jazz Funk,馬各,12:20-13:20
THU_block_17.jpeg,,,
FRI_block_08.jpeg,Jazz Funk,斯莫,19:40-20:40
FRI_block_09.jpeg,Popping,阿金,19:40-20:40
TUE_block_01.jpeg,Street Jazz,小米,12:20-13:20
THU_block_16.jpeg,,,
TUE_block_17.jpeg,,,
MON_block_02.jpeg,,,13:30-14:30
SUN_block_04.jpeg,Jazz Funk,芸貝,14:40-15:40
MON_block_14.jpeg,,,
SUN_block_12.jpeg,,,17:00-18:00
SAT_block_03.jpeg,Street Jazz,芭比,13:30-14:30
FRI_block_05.jpeg,舞感養成,青軒,18:30-19:30
FRI_block_13.jpeg,,,
SAT_block_15.jpeg,,,18:10-19:10
WED_block_14.jpeg,,,
SUN_block_08.jpeg,舞感養成,小羊,15:50-16:50
WED_block_02.jpeg,Street Jazz,Kivi,13:30-14:30
